Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,3.578,3.767,3.930,4.054,3.949,3.706,3.683,3.885,4.054,4.018,3.918,3.736
2013,3.692,3.889,3.884,3.732,3.697,3.711,3.823,3.825,3.764,3.554,3.500,3.610
2014,3.593,3.606,3.695,3.768,3.835,3.852,3.839,3.672,3.557,3.363,3.031,2.775
2015,2.297,2.334,2.479,2.521,2.778,2.862,2.851,2.683,2.435,2.294,2.246,2.177
2016,2.048,1.904,1.932,2.172,2.326,2.379,2.308,2.215,2.232,2.269,2.388,2.438
2017,2.542,2.492,2.438,2.516,2.511,2.488,2.441,2.512,2.827,2.652,2.658,2.623
2018,2.685,2.750,2.682,2.814,3.020,3.065,3.003,2.988,2.975,2.974,2.845,2.655
2019,2.507,2.477,2.628,2.839,2.997,2.912,2.902,2.844,2.706,2.676,2.675,2.674
2020,2.705,2.617,2.483,2.261,2.151,2.205,2.258,2.245,2.261,2.248,2.209,2.285
2021,2.446,2.612,2.870,2.911,3.038,3.202,3.286,3.314,3.349,3.488,3.625,3.581
2022,3.537,3.719,4.388,4.290,4.828,5.131,4.800,4.323,3.832,3.732,NA,NA
